time,lat,lon
2026-03-07T06:30:00Z,1.2868000,103.8544600
2026-03-07T06:30:30Z,1.2875472,103.8543352
2026-03-07T06:31:00Z,1.2883974,103.8543694
2026-03-07T06:31:30Z,1.2890667,103.8547373
2026-03-07T06:32:00Z,1.2895028,103.8554960
2026-03-07T06:32:30Z,1.2894353,103.8563358
2026-03-07T06:33:00Z,1.2892791,103.8571811
2026-03-07T06:33:30Z,1.2890480,103.8579981
2026-03-07T06:34:00Z,1.2888045,103.8588329
2026-03-07T06:34:30Z,1.2885533,103.8596712
2026-03-07T06:35:00Z,1.2881985,103.8603685
2026-03-07T06:35:30Z,1.2873632,103.8606117
2026-03-07T06:36:00Z,1.2865556,103.8605535
2026-03-07T06:36:30Z,1.2857487,103.8602648
2026-03-07T06:37:00Z,1.2850013,103.8598740
2026-03-07T06:37:30Z,1.2843387,103.8593019
2026-03-07T06:38:00Z,1.2836900,103.8587518
2026-03-07T06:38:30Z,1.2830464,103.8581852
2026-03-07T06:39:00Z,1.2824104,103.8575769
2026-03-07T06:39:30Z,1.2818977,103.8568532
2026-03-07T06:40:00Z,1.2814179,103.8561467
2026-03-07T06:40:30Z,1.2815763,103.8553764
2026-03-07T06:41:00Z,1.2819438,103.8545968
2026-03-07T06:41:30Z,1.2824021,103.8538823
2026-03-07T06:42:00Z,1.2829185,103.8531821
2026-03-07T06:42:30Z,1.2836238,103.8529446
2026-03-07T06:43:00Z,1.2844706,103.8530948
2026-03-07T06:43:30Z,1.2852196,103.8535007
2026-03-07T06:44:00Z,1.2859315,103.8539390
2026-03-07T06:44:30Z,1.2866697,103.8544095
2026-03-07T06:45:00Z,1.2868000,103.8544600
