time,lat,lon
2026-03-07T06:30:00Z,1.2868000,103.8544600
2026-03-07T06:30:02Z,1.2868187,103.8544474
2026-03-07T06:30:04Z,1.2868887,103.8544520
2026-03-07T06:30:06Z,1.2869540,103.8544342
2026-03-07T06:30:08Z,1.2870055,103.8544228
2026-03-07T06:30:10Z,1.2870597,103.8544181
2026-03-07T06:30:12Z,1.2871093,103.8543999
2026-03-07T06:30:14Z,1.2871662,103.8543899
2026-03-07T06:30:16Z,1.2872180,103.8543804
2026-03-07T06:30:18Z,1.2872673,103.8543666
2026-03-07T06:30:20Z,1.2873277,103.8543599
2026-03-07T06:30:22Z,1.2873901,103.8543477
2026-03-07T06:30:24Z,1.2874557,103.8543221
2026-03-07T06:30:26Z,1.2874966,103.8543278
2026-03-07T06:30:28Z,1.2875399,103.8542946
2026-03-07T06:30:30Z,1.2876003,103.8542883
2026-03-07T06:30:32Z,1.2876663,103.8542839
2026-03-07T06:30:34Z,1.2877272,103.8542702
2026-03-07T06:30:36Z,1.2877936,103.8542528
2026-03-07T06:30:38Z,1.2878464,103.8542262
2026-03-07T06:30:40Z,1.2879218,103.8542227
2026-03-07T06:30:42Z,1.2879676,103.8542240
2026-03-07T06:30:44Z,1.2880345,103.8542281
2026-03-07T06:30:46Z,1.2881042,103.8542358
2026-03-07T06:30:48Z,1.2881711,103.8542274
2026-03-07T06:30:50Z,1.2882120,103.8542492
2026-03-07T06:30:52Z,1.2882801,103.8542614
2026-03-07T06:30:54Z,1.2883452,103.8542729
2026-03-07T06:30:56Z,1.2884026,103.8543069
2026-03-07T06:30:58Z,1.2884495,103.8543130
2026-03-07T06:31:00Z,1.2885029,103.8543286
2026-03-07T06:31:02Z,1.2885573,103.8543356
2026-03-07T06:31:04Z,1.2886024,103.8543510
2026-03-07T06:31:06Z,1.2886347,103.8543445
2026-03-07T06:31:08Z,1.2886936,103.8543662
2026-03-07T06:31:10Z,1.2887515,103.8543902
2026-03-07T06:31:12Z,1.2888142,103.8543908
2026-03-07T06:31:14Z,1.2888592,103.8543988
2026-03-07T06:31:16Z,1.2889351,103.8543989
2026-03-07T06:31:18Z,1.2889962,103.8544121
2026-03-07T06:31:20Z,1.2890170,103.8544573
2026-03-07T06:31:22Z,1.2890422,103.8545170
2026-03-07T06:31:24Z,1.2890672,103.8545598
2026-03-07T06:31:26Z,1.2890954,103.8546017
2026-03-07T06:31:28Z,1.2891133,103.8546644
2026-03-07T06:31:30Z,1.2891334,103.8547294
2026-03-07T06:31:32Z,1.2891522,103.8547807
2026-03-07T06:31:34Z,1.2891802,103.8548284
2026-03-07T06:31:36Z,1.2892007,103.8548742
2026-03-07T06:31:38Z,1.2892204,103.8549180
2026-03-07T06:31:40Z,1.2892460,103.8549534
2026-03-07T06:31:42Z,1.2892832,103.8550096
2026-03-07T06:31:44Z,1.2893350,103.8550679
2026-03-07T06:31:46Z,1.2893561,103.8551224
2026-03-07T06:31:48Z,1.2893717,103.8551921
2026-03-07T06:31:50Z,1.2893888,103.8552516
